impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K18-106520,A551643,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1829739,LOST,Dixi,Dog,,Female,Jack Russell Terrier,Unknown,02/08/2018 12:00:00 AM,Date Lost,2737 18TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1829739,Image Copyright HLP Inc. 2018,"2737 18TH AVE NE
",
K18-106559,A551697,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1830155,LOST,Yoda,Cat,,Male,Domestic Longhair,Unknown,01/19/2018 12:00:00 AM,Date Lost,00 2ND AVE S,ALGONA,WA,98001,ALGONA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1830155,Image Copyright HLP Inc. 2018,"00 2ND AVE S
ALGONA, WA 98001
",
K18-106226,A550829,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1823444,LOST,Heidi,Dog,,Female,Rottweiler,Unknown,01/20/2018 12:00:00 AM,Date Lost,RENTON MAPLE VALLEY ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1823444,Image Copyright HLP Inc. 2018,"RENTON MAPLE VALLEY ROAD
",
K18-106545,A551682,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1829893,LOST,Snow,Dog,,Female,Alaskan Husky,Unknown,02/08/2018 12:00:00 AM,Date Lost,10600 22ND PL S,SEATTLE,WA,98168,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1829893,Image Copyright HLP Inc. 2018,"10600 22ND PL S
SEATTLE, WA 98168
",
K18-106154,A550650,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1822045,In Public Home,,Cat,,Male,Domestic Shorthair,Unknown,01/19/2018 12:00:00 AM,Date Found,25900 BLOCK SIMONDS ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1822045,Image Copyright HLP Inc. 2018,"25900 BLOCK SIMONDS ROAD
",
K18-106749,A552177,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833793,LOST,Romi,Cat,,Male,Bengal,Unknown,02/19/2018 12:00:00 AM,Date Lost,7000 134TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833793,Image Copyright HLP Inc. 2018,"7000 134TH AVE NE
REDMOND, WA 98052
",
K18-106688,A552050,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1832475,LOST,Reaper,Dog,,Male,Shih Tzu,Unknown,02/15/2018 12:00:00 AM,Date Lost,SE RAVENSDALE WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1832475,Image Copyright HLP Inc. 2018,"SE RAVENSDALE WAY
",
K18-106577,A551716,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1830666,LOST,Butterball,Dog,,Male,Labrador Retriever,Unknown,02/11/2018 12:00:00 AM,Date Lost,29600 41ST PL S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1830666,Image Copyright HLP Inc. 2018,"29600 41ST PL S
AUBURN, WA 98001
",
K18-106686,A552048,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1832457,LOST,Reaper,Dog,,Male,Shih Tzu,Unknown,02/15/2018 12:00:00 AM,Date Lost,SE RAVENSDALE WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1832457,Image Copyright HLP Inc. 2018,"SE RAVENSDALE WAY
",
K18-106672,A552022,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1832319,LOST,Curtis,Cat,,Male,Domestic Shorthair,Unknown,02/15/2018 12:00:00 AM,Date Lost,39382 PARK ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1832319,Image Copyright HLP Inc. 2018,"39382 PARK ST
",
K18-106303,A551011,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1825464,LOST,Lucky,Dog,,Male,Chihuahua - Smooth Coated,Unknown,01/27/2018 12:00:00 AM,Date Lost,2100 SW 352ND ST,FEDERAL WAY,WA,98023,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1825464,Image Copyright HLP Inc. 2018,"2100 SW 352ND ST
FEDERAL WAY, WA 98023
",
K18-106817,A552336,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1834912,LOST,Bear,Dog,,Male,Rottweiler,Unknown,02/16/2018 12:00:00 AM,Date Lost,2000 EDMONDS DR SE,RENTON,WA,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1834912,Image Copyright HLP Inc. 2018,"2000 EDMONDS DR SE
RENTON, WA 98055
",
K18-106159,A550655,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1822176,LOST,Goose,Dog,,Male,Labrador Retriever,Unknown,01/19/2018 12:00:00 AM,Date Lost,11800 SE 321ST PL,AUBURN,WA,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1822176,Image Copyright HLP Inc. 2018,"11800 SE 321ST PL
AUBURN, WA 98092
",
K18-106227,A550835,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1823507,In Public Home,,Dog,,Female,Rat Terrier,White / Black,01/23/2018 12:00:00 AM,Date Found,47TH AVE NE,HORIZON VIEW,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1823507,Image Copyright HLP Inc. 2018,"47TH AVE NE
HORIZON VIEW
",
K18-106358,A551173,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1826620,LOST,Rocky,Dog,,Male,German Shepherd,Unknown,01/30/2018 12:00:00 AM,Date Lost,119TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1826620,Image Copyright HLP Inc. 2018,"119TH
",
K18-106318,A551082,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1825836,LOST,Mohawk,Cat,,Female,Abyssinian,Unknown,01/25/2018 12:00:00 AM,Date Lost,COLUMBIA WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1825836,Image Copyright HLP Inc. 2018,"COLUMBIA WAY
",
K18-106755,A552197,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833920,In Public Home,,Dog,,Male,Golden Retriever,Unknown,02/20/2018 12:00:00 AM,Date Found,4700 153RD AVE SE,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833920,Image Copyright HLP Inc. 2018,"4700 153RD AVE SE
BELLEVUE, WA 98006
",
K18-106750,A552178,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833809,LOST,Cersie,Cat,,Female,Domestic Shorthair,Unknown,02/18/2018 12:00:00 AM,Date Lost,2459 S 273RD PL  APT 300,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833809,Image Copyright HLP Inc. 2018,"2459 S 273RD PL APT 300
",
K18-106810,A552302,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1834698,In Public Home,,Dog,,Male,Pomeranian,Brown / Unknown,02/22/2018 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1834698,Image Copyright HLP Inc. 2018,,
K18-106730,A552094,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833258,LOST,Lilyanne,Dog,,Female,Miniature Pinscher,Unknown,02/05/2018 12:00:00 AM,Date Lost,MCGRAW AND 5TH AVE W,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833258,Image Copyright HLP Inc. 2018,"MCGRAW AND 5TH AVE W
",
K18-106158,A550654,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1822173,LOST,Goose,Dog,,Male,Labrador Retriever,Unknown,01/19/2018 12:00:00 AM,Date Lost,118TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1822173,Image Copyright HLP Inc. 2018,"118TH AVE SE
",
K18-106376,A551229,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1826967,In Public Home,,Cat,,Female,American Shorthair,Unknown,01/31/2018 12:00:00 AM,Date Found,700 126TH AVE NE,BELLEVUE,WA,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1826967,Image Copyright HLP Inc. 2018,"700 126TH AVE NE
BELLEVUE, WA 98005
",
K18-106648,A551939,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1831798,In Public Home,,Cat,,,American Shorthair,White,02/14/2018 12:00:00 AM,Date Found,1100 SUNSET BLVD NE,RENTON,WA,98056,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1831798,Image Copyright HLP Inc. 2018,"1100 SUNSET BLVD NE
RENTON, WA 98056
",
K18-106738,A552102,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833534,In Public Home,,Dog,,Male,Chihuahua - Long Haired,White / Unknown,02/19/2018 12:00:00 AM,Date Found,CORNER OF S 168TH AND 35TH AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833534,Image Copyright HLP Inc. 2018,"CORNER OF S 168TH AND 35TH AVE S
",
K18-106366,A551213,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1826886,LOST,Snowball,Cat,,Male,Siamese,Unknown,01/29/2018 12:00:00 AM,Date Lost,199TH PL SW AND BIRCH WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1826886,Image Copyright HLP Inc. 2018,"199TH PL SW AND BIRCH WAY
",
K18-106412,A551284,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1827796,In Public Home,,Dog,,Female,Pit Bull,Brown / White,01/28/2018 12:00:00 AM,Date Found,13600 440TH PL SE,NORTH BEND,WA,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1827796,Image Copyright HLP Inc. 2018,"13600 440TH PL SE
NORTH BEND, WA 98045
",
K18-106736,A552100,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833473,LOST,Molly,Dog,,Female,Rat Terrier,Unknown,02/15/2018 12:00:00 AM,Date Lost,NEAR 64TH PL AND 238TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833473,Image Copyright HLP Inc. 2018,"NEAR 64TH PL AND 238TH AVE
",
K18-106568,A551704,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1830361,LOST,Rikke,Dog,,Female,German Wirehaired Pointer,Unknown,02/10/2018 12:00:00 AM,Date Lost,4240 AS 338TH ST.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1830361,Image Copyright HLP Inc. 2018,"4240 AS 338TH ST.
",
K18-106679,A552030,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1832357,LOST,Oreo,Cat,,Female,Domestic Shorthair,Unknown,02/14/2018 12:00:00 AM,Date Lost,22200 SE 273RD ST,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1832357,Image Copyright HLP Inc. 2018,"22200 SE 273RD ST
MAPLE VALLEY, WA 98038
",
K18-106882,A552809,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1836669,LOST,Bones,Dog,,Male,German Shepherd,Unknown,02/25/2018 12:00:00 AM,Date Lost,WOODBROOK AND 150TH ST SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1836669,Image Copyright HLP Inc. 2018,"WOODBROOK AND 150TH ST SW
",
K18-106561,A551699,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1830179,LOST,Blue,Dog,,Male,Pit Bull,Unknown,02/10/2018 12:00:00 AM,Date Lost,1500 W MEEKER ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1830179,Image Copyright HLP Inc. 2018,"1500 W MEEKER ST
KENT, WA 98032
",
K18-106812,A552304,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1834743,In Public Home,,Cat,,Female,Domestic Mediumhair,Black / White,02/22/2018 12:00:00 AM,Date Found,29400 9TH PL S,FEDERAL WAY,WA,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1834743,Image Copyright HLP Inc. 2018,"29400 9TH PL S
FEDERAL WAY, WA 98003
",
K18-106892,A552893,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1837115,LOST,Alex,Dog,,Female,Rottweiler,Unknown,03/01/2018 12:00:00 AM,Date Lost,SUITE 152,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1837115,Image Copyright HLP Inc. 2018,"SUITE 152
",
K18-106711,A552075,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Unaltered,Goose,Brown / Black,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Brown / Black Unaltered Goose Bird<p></p> Age: NO AGE<p></p>"
K18-106500,A551574,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1829362,LOST,Ari,Dog,,Female,Chihuahua - Smooth Coated,Unknown,02/06/2018 12:00:00 AM,Date Lost,S GENESEE ST & 39TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1829362,Image Copyright HLP Inc. 2018,"S GENESEE ST &amp; 39TH AVE
",
K18-106829,A552351,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1835202,LOST,,Dog,,Female,Alaskan Husky,Unknown,02/19/2018 12:00:00 AM,Date Lost,"SOUTH MAYFLOWER & 53RD STREET SOUTH,",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1835202,Image Copyright HLP Inc. 2018,"SOUTH MAYFLOWER &amp; 53RD STREET SOUTH,
",
K17-102943,A538943,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Anastasia,Cat,8 YEARS 5 MONTHS,Spayed Female,Domestic Longhair,Black,09/17/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A538943,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2017-09-17<p></p> Description: Black Spayed Female Domestic Longhair Cat<p></p> Age: 8 YEARS 5 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>Hi! My name is Anastasia and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on September 17, 2017.<p></p><p></p>I am an independent kitty who likes to do my own thing! I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p></p><p></p>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p></p><p></p>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p></p>Adoption Fee: $30.00<p></p>"
K18-106769,A552232,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Big Hunk,Dead Cat,4 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,02/21/2018 12:00:00 AM,Received on,11100 SE 208TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2018,"11100 SE 208TH ST
KENT, WA 98031
","Received on: 2018-02-21<p></p> Found Near: 11100 SE 208TH ST, KENT WA 98031<p></p> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p>"
K18-106448,A551409,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A551409,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Forest,Cat,10 YEARS,Spayed Female,Domestic Shorthair,Black,02/06/2018 12:00:00 AM,Received on,38900 264TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551409,Image Copyright HLP Inc. 2018,"38900 264TH AVE SE
ENUMCLAW, WA 98022
","Received on: 2018-02-06<p></p> Found Near: 38900 264TH AVE SE, ENUMCLAW WA 98022<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: 10 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106916,A552976,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552976,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Male,Domestic Shorthair,Black / White,03/02/2018 12:00:00 AM,Received on,5300 HIGHLAND DR,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552976,Image Copyright HLP Inc. 2018,"5300 HIGHLAND DR
BELLEVUE, WA 98006
","Received on: 2018-03-02<p></p> Found Near: 5300 HIGHLAND DR, BELLEVUE WA 98006<p></p> Description: Black / White Male Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
